Model A,Model B,Pleft,Prope,Pright
OrthogonalAE,EfficientKAN,0.082,0.011,0.907
OrthogonalAE,FastKAN,0.3019,0.061,0.6371
OrthogonalAE,FourierKAN,0.9924,0.0024,0.0053
OrthogonalAE,WavKAN,0.0,0.0519,0.9481
EfficientKAN,FastKAN,0.8008,0.0112,0.1881
EfficientKAN,FourierKAN,0.9845,0.0008,0.0147
EfficientKAN,WavKAN,0.3777,0.2874,0.3349
FastKAN,FourierKAN,0.9925,0.0043,0.0032
FastKAN,WavKAN,0.0139,0.0333,0.9528
FourierKAN,WavKAN,0.0,0.0351,0.9649
