Model A,Model B,Pleft,Prope,Pright
OrthogonalAE,EfficientKAN,0.4512,0.3379,0.2109
OrthogonalAE,FastKAN,0.2547,0.7441,0.0012
OrthogonalAE,FourierKAN,0.9844,0.0091,0.0065
OrthogonalAE,WavKAN,0.0022,0.7359,0.2619
EfficientKAN,FastKAN,0.6365,0.0253,0.3382
EfficientKAN,FourierKAN,0.9603,0.0081,0.0316
EfficientKAN,WavKAN,0.0223,0.6562,0.3216
FastKAN,FourierKAN,0.9906,0.0041,0.0053
FastKAN,WavKAN,0.0264,0.0567,0.9169
FourierKAN,WavKAN,0.0,0.07,0.93
