Model A,Model B,Pleft,Prope,Pright
OrthogonalAE,EfficientKAN,0.1407,0.0647,0.7946
OrthogonalAE,FastKAN,0.2467,0.4367,0.3166
OrthogonalAE,FourierKAN,0.9888,0.0053,0.0059
OrthogonalAE,WavKAN,0.0004,0.1275,0.8721
EfficientKAN,FastKAN,0.7238,0.0141,0.2621
EfficientKAN,FourierKAN,0.9733,0.0025,0.0242
EfficientKAN,WavKAN,0.3318,0.3012,0.367
FastKAN,FourierKAN,0.9909,0.0039,0.0052
FastKAN,WavKAN,0.0172,0.0389,0.9439
FourierKAN,WavKAN,0.0,0.07,0.93
