Model A,Model B,Pleft,Prope,Pright,SampleSize
FastKAN,FourierKAN,0.9906,0.0041,0.0053,30500
FastKAN,WavKAN,0.0264,0.0567,0.9169,30500
FourierKAN,WavKAN,0.0,0.07,0.93,30500
OrthogonalAE,EfficientKAN,0.7161,0.2205,0.0635,51500
OrthogonalAE,FastKAN,0.1026,0.8956,0.0018,51500
OrthogonalAE,FourierKAN,0.9871,0.0067,0.0061,51500
OrthogonalAE,WavKAN,0.039,0.7898,0.1712,51500
EfficientKAN,FastKAN,0.2686,0.1761,0.5553,51500
EfficientKAN,FourierKAN,0.9565,0.0039,0.0396,51500
EfficientKAN,WavKAN,0.0031,0.6575,0.3393,51500
FastKAN,FourierKAN,0.9908,0.0043,0.0049,51500
FastKAN,WavKAN,0.0614,0.434,0.5046,51500
FourierKAN,WavKAN,0.0,0.0723,0.9277,51500
OrthogonalAE,EfficientKAN,0.8799,0.0953,0.0248,86000
OrthogonalAE,FastKAN,0.1101,0.8072,0.0828,86000
OrthogonalAE,FourierKAN,0.9759,0.0167,0.0074,86000
OrthogonalAE,WavKAN,0.0282,0.8215,0.1503,86000
EfficientKAN,FastKAN,0.1103,0.1439,0.7459,86000
EfficientKAN,FourierKAN,0.9348,0.001,0.0642,86000
EfficientKAN,WavKAN,0.0,0.3882,0.6118,86000
FastKAN,FourierKAN,0.9901,0.0045,0.0054,86000
FastKAN,WavKAN,0.0728,0.5757,0.3515,86000
FourierKAN,WavKAN,0.0,0.0716,0.9284,86000
OrthogonalAE,EfficientKAN,0.9255,0.0624,0.0121,144000
OrthogonalAE,FastKAN,0.1328,0.6083,0.2588,144000
OrthogonalAE,FourierKAN,0.965,0.0274,0.0076,144000
OrthogonalAE,WavKAN,0.019,0.8769,0.1041,144000
EfficientKAN,FastKAN,0.0961,0.1005,0.8034,144000
EfficientKAN,FourierKAN,0.9383,0.0008,0.0609,144000
EfficientKAN,WavKAN,0.0003,0.2601,0.7396,144000
FastKAN,FourierKAN,0.9909,0.0019,0.0072,144000
FastKAN,WavKAN,0.127,0.4925,0.3805,144000
FourierKAN,WavKAN,0.0,0.0677,0.9323,144000
OrthogonalAE,EfficientKAN,0.8996,0.0781,0.0223,200000
OrthogonalAE,FastKAN,0.1403,0.4683,0.3915,200000
OrthogonalAE,FourierKAN,0.9651,0.0274,0.0075,200000
OrthogonalAE,WavKAN,0.0004,0.9187,0.0809,200000
EfficientKAN,FastKAN,0.0812,0.1236,0.7952,200000
EfficientKAN,FourierKAN,0.9357,0.001,0.0633,200000
EfficientKAN,WavKAN,0.0044,0.2128,0.7827,200000
FastKAN,FourierKAN,0.9909,0.0019,0.0073,200000
FastKAN,WavKAN,0.1254,0.4922,0.3825,200000
FourierKAN,WavKAN,0.0,0.0686,0.9314,200000
