,PCA,OrthogonalAE,EfficientKAN,FastKAN,FourierKAN,WavKAN
IDV 3,3.88 ± 0.20,3.19 ± 0.58,5.73 ± 0.46,5.56 ± 0.55,3.96 ± 0.46,4.69 ± 0.44
IDV 9,7.90 ± 0.31,8.50 ± 0.67,4.00 ± 0.71,4.29 ± 0.39,4.23 ± 0.47,10.15 ± 1.01
IDV 15,5.20 ± 0.28,4.44 ± 0.44,3.71 ± 0.22,6.81 ± 0.55,0.85 ± 0.13,0.65 ± 0.26
IDV 4,4.02 ± 0.25,2.63 ± 0.44,3.25 ± 0.34,2.96 ± 0.20,4.67 ± 0.32,2.65 ± 0.26
IDV 5,4.02 ± 0.25,2.63 ± 0.44,3.25 ± 0.34,2.96 ± 0.20,4.67 ± 0.32,2.65 ± 0.26
IDV 7,4.40 ± 0.27,2.54 ± 0.36,3.33 ± 0.23,3.02 ± 0.28,3.96 ± 0.11,2.31 ± 0.33
IDV 1,6.98 ± 0.27,2.12 ± 0.41,4.08 ± 0.33,3.71 ± 0.41,2.33 ± 0.25,2.60 ± 0.31
IDV 2,5.25 ± 0.30,2.10 ± 0.43,3.94 ± 0.25,5.54 ± 0.31,4.31 ± 0.22,3.65 ± 0.27
IDV 6,5.30 ± 0.20,2.23 ± 0.36,3.63 ± 0.36,4.87 ± 0.44,3.29 ± 0.23,1.96 ± 0.28
IDV 8,3.87 ± 0.20,2.33 ± 0.36,3.02 ± 0.44,2.31 ± 0.27,1.50 ± 0.21,1.42 ± 0.29
IDV 10,7.55 ± 0.28,1.21 ± 0.28,1.25 ± 0.24,4.10 ± 0.37,4.50 ± 0.36,2.23 ± 0.31
IDV 11,5.20 ± 0.24,2.96 ± 0.46,3.27 ± 0.37,4.65 ± 0.29,1.98 ± 0.19,1.15 ± 0.35
IDV 12,3.30 ± 0.14,3.75 ± 0.39,4.38 ± 0.25,4.38 ± 0.47,4.33 ± 0.34,3.85 ± 0.49
IDV 13,5.17 ± 0.22,1.33 ± 0.31,2.15 ± 0.32,3.69 ± 0.33,1.81 ± 0.20,1.08 ± 0.19
IDV 14,5.40 ± 0.25,1.65 ± 0.34,1.04 ± 0.18,3.23 ± 0.16,2.33 ± 0.28,1.54 ± 0.35
IDV 16,7.20 ± 0.33,7.88 ± 0.81,7.46 ± 0.52,10.46 ± 0.58,7.52 ± 0.49,10.21 ± 0.75
IDV 17,6.58 ± 0.33,4.85 ± 0.56,3.48 ± 0.26,2.25 ± 0.36,4.02 ± 0.19,2.94 ± 0.44
IDV 18,7.25 ± 0.26,3.06 ± 0.52,2.56 ± 0.34,5.48 ± 0.40,1.40 ± 0.12,1.42 ± 0.29
IDV 19,3.00 ± 0.24,2.10 ± 0.35,1.94 ± 0.37,7.31 ± 0.57,1.62 ± 0.26,0.83 ± 0.26
IDV 20,4.80 ± 0.35,1.44 ± 0.34,0.90 ± 0.20,4.50 ± 0.32,1.88 ± 0.00,1.56 ± 0.20
IDV 21,7.60 ± 0.28,6.40 ± 0.50,4.60 ± 0.33,6.17 ± 0.52,2.00 ± 0.14,2.46 ± 0.32
