,PCA,OrthogonalAE,EfficientKAN,FastKAN,FourierKAN,WavKAN
IDV 3,3.75 ± 0.00,3.08 ± 0.36,6.08 ± 0.40,6.23 ± 0.30,5.38 ± 0.41,4.92 ± 0.37
IDV 9,8.19 ± 0.19,7.75 ± 0.47,2.98 ± 0.33,4.02 ± 0.23,5.17 ± 0.42,10.38 ± 0.76
IDV 15,5.17 ± 0.10,4.21 ± 0.34,3.42 ± 0.23,7.42 ± 0.27,0.65 ± 0.04,0.83 ± 0.26
IDV 4,4.37 ± 0.06,3.54 ± 0.35,3.56 ± 0.31,3.27 ± 0.21,4.52 ± 0.29,2.96 ± 0.40
IDV 5,4.37 ± 0.06,3.54 ± 0.35,3.56 ± 0.31,3.27 ± 0.21,4.52 ± 0.29,2.96 ± 0.40
IDV 7,4.48 ± 0.14,2.56 ± 0.31,4.23 ± 0.18,3.31 ± 0.31,4.23 ± 0.16,2.54 ± 0.32
IDV 1,7.58 ± 0.17,2.04 ± 0.52,4.81 ± 0.33,4.50 ± 0.26,2.02 ± 0.29,2.88 ± 0.37
IDV 2,5.31 ± 0.15,2.73 ± 0.33,3.85 ± 0.18,6.04 ± 0.34,4.17 ± 0.25,3.90 ± 0.30
IDV 6,5.31 ± 0.13,2.98 ± 0.44,4.15 ± 0.24,5.25 ± 0.37,3.56 ± 0.16,2.00 ± 0.26
IDV 8,3.79 ± 0.19,3.15 ± 0.33,3.85 ± 0.37,2.96 ± 0.20,1.56 ± 0.13,1.65 ± 0.31
IDV 10,7.56 ± 0.09,1.06 ± 0.34,1.62 ± 0.15,4.69 ± 0.24,4.67 ± 0.12,2.54 ± 0.34
IDV 11,5.04 ± 0.14,2.71 ± 0.31,3.98 ± 0.23,5.56 ± 0.26,1.90 ± 0.13,1.81 ± 0.30
IDV 12,3.12 ± 0.00,4.00 ± 0.44,4.81 ± 0.21,5.88 ± 0.43,3.81 ± 0.17,3.73 ± 0.40
IDV 13,5.21 ± 0.13,0.94 ± 0.24,2.06 ± 0.20,3.58 ± 0.23,1.94 ± 0.18,1.29 ± 0.17
IDV 14,5.13 ± 0.09,1.40 ± 0.29,1.04 ± 0.17,3.33 ± 0.20,2.96 ± 0.25,1.44 ± 0.30
IDV 16,6.73 ± 0.17,6.50 ± 0.37,7.13 ± 0.37,9.38 ± 0.26,8.58 ± 0.55,10.35 ± 0.54
IDV 17,6.88 ± 0.00,5.83 ± 0.49,3.23 ± 0.15,2.54 ± 0.18,4.42 ± 0.17,2.85 ± 0.37
IDV 18,6.85 ± 0.11,2.56 ± 0.32,2.88 ± 0.28,5.58 ± 0.24,1.52 ± 0.15,1.62 ± 0.23
IDV 19,2.98 ± 0.13,1.77 ± 0.26,1.79 ± 0.26,7.69 ± 0.38,1.60 ± 0.19,1.10 ± 0.28
IDV 20,4.90 ± 0.21,1.92 ± 0.39,1.00 ± 0.13,4.85 ± 0.15,1.88 ± 0.00,1.50 ± 0.13
IDV 21,7.50 ± 0.00,7.50 ± 0.55,4.75 ± 0.30,6.67 ± 0.27,2.02 ± 0.12,2.75 ± 0.36
