,PCA,OrthogonalAE,EfficientKAN,FastKAN,FourierKAN,WavKAN
IDV 3,4.21 ± 0.30,3.54 ± 0.62,4.90 ± 0.59,5.60 ± 0.46,2.96 ± 0.47,4.88 ± 0.58
IDV 9,8.08 ± 0.41,8.21 ± 0.73,5.27 ± 0.85,4.67 ± 0.59,4.79 ± 0.66,10.02 ± 1.04
IDV 15,5.15 ± 0.32,3.17 ± 0.62,3.42 ± 0.32,6.31 ± 0.47,0.77 ± 0.12,0.63 ± 0.14
IDV 4,4.44 ± 0.23,2.38 ± 0.31,3.29 ± 0.40,2.98 ± 0.26,4.33 ± 0.43,2.31 ± 0.27
IDV 5,4.44 ± 0.23,2.38 ± 0.31,3.29 ± 0.40,2.98 ± 0.26,4.33 ± 0.43,2.31 ± 0.27
IDV 7,4.35 ± 0.38,2.77 ± 0.43,2.98 ± 0.33,3.46 ± 0.32,3.75 ± 0.18,1.94 ± 0.29
IDV 1,6.69 ± 0.30,2.48 ± 0.43,3.62 ± 0.35,4.56 ± 0.45,2.02 ± 0.19,2.29 ± 0.33
IDV 2,5.35 ± 0.25,1.88 ± 0.39,3.29 ± 0.20,5.48 ± 0.39,3.98 ± 0.20,3.52 ± 0.32
IDV 6,5.33 ± 0.26,1.88 ± 0.44,3.40 ± 0.33,4.35 ± 0.49,2.98 ± 0.22,1.69 ± 0.23
IDV 8,4.10 ± 0.34,2.88 ± 0.51,2.67 ± 0.49,2.06 ± 0.28,1.17 ± 0.21,1.38 ± 0.27
IDV 10,7.25 ± 0.30,1.83 ± 0.49,0.96 ± 0.30,4.15 ± 0.31,3.48 ± 0.59,1.96 ± 0.40
IDV 11,4.85 ± 0.49,2.96 ± 0.54,2.52 ± 0.34,4.46 ± 0.27,1.90 ± 0.30,1.04 ± 0.29
IDV 12,3.62 ± 0.21,3.50 ± 0.45,3.77 ± 0.28,4.35 ± 0.45,3.73 ± 0.30,3.60 ± 0.37
IDV 13,5.27 ± 0.32,1.52 ± 0.43,1.73 ± 0.32,3.75 ± 0.38,1.50 ± 0.23,0.96 ± 0.19
IDV 14,5.08 ± 0.30,1.96 ± 0.39,1.10 ± 0.17,2.96 ± 0.22,1.96 ± 0.34,1.15 ± 0.35
IDV 16,7.10 ± 0.39,8.00 ± 0.91,7.94 ± 0.60,10.63 ± 0.45,8.06 ± 0.77,10.06 ± 0.55
IDV 17,6.52 ± 0.27,4.35 ± 0.64,3.90 ± 0.30,2.17 ± 0.38,3.77 ± 0.16,2.71 ± 0.31
IDV 18,7.33 ± 0.39,2.96 ± 0.52,2.23 ± 0.27,5.50 ± 0.37,1.27 ± 0.16,1.27 ± 0.25
IDV 19,3.06 ± 0.26,2.23 ± 0.44,2.10 ± 0.30,7.52 ± 0.50,1.67 ± 0.35,0.88 ± 0.26
IDV 20,4.98 ± 0.43,1.60 ± 0.43,0.96 ± 0.24,4.58 ± 0.33,1.88 ± 0.00,1.52 ± 0.22
IDV 21,7.33 ± 0.46,5.33 ± 0.50,4.73 ± 0.38,5.77 ± 0.53,1.90 ± 0.22,2.40 ± 0.31
