,PCA,OrthogonalAE,EfficientKAN,FastKAN,FourierKAN,WavKAN
IDV 3,3.75 ± 0.00,2.90 ± 0.46,6.15 ± 0.34,6.33 ± 0.28,5.71 ± 0.36,5.44 ± 0.49
IDV 9,8.15 ± 0.19,7.62 ± 0.43,3.13 ± 0.28,4.17 ± 0.26,5.19 ± 0.38,10.48 ± 0.97
IDV 15,5.13 ± 0.11,4.15 ± 0.30,3.46 ± 0.17,7.29 ± 0.26,0.67 ± 0.06,0.58 ± 0.18
IDV 4,4.37 ± 0.00,3.58 ± 0.35,3.54 ± 0.33,3.46 ± 0.21,4.73 ± 0.22,2.85 ± 0.38
IDV 5,4.37 ± 0.00,3.58 ± 0.35,3.54 ± 0.33,3.46 ± 0.21,4.73 ± 0.22,2.85 ± 0.38
IDV 7,4.37 ± 0.07,2.40 ± 0.31,3.94 ± 0.24,3.25 ± 0.23,4.19 ± 0.14,2.69 ± 0.31
IDV 1,7.72 ± 0.16,1.98 ± 0.28,4.73 ± 0.32,4.35 ± 0.26,2.17 ± 0.20,2.67 ± 0.32
IDV 2,5.40 ± 0.13,2.44 ± 0.35,3.92 ± 0.24,5.92 ± 0.24,4.31 ± 0.25,4.17 ± 0.31
IDV 6,5.50 ± 0.17,3.13 ± 0.41,4.25 ± 0.21,5.17 ± 0.40,3.71 ± 0.17,2.04 ± 0.23
IDV 8,3.80 ± 0.18,2.96 ± 0.48,3.69 ± 0.41,2.94 ± 0.24,1.75 ± 0.16,1.60 ± 0.33
IDV 10,7.52 ± 0.05,0.85 ± 0.26,1.56 ± 0.17,4.42 ± 0.22,4.63 ± 0.12,3.06 ± 0.46
IDV 11,5.08 ± 0.09,2.31 ± 0.35,4.08 ± 0.28,5.52 ± 0.28,1.94 ± 0.11,1.38 ± 0.31
IDV 12,3.12 ± 0.00,3.79 ± 0.41,4.81 ± 0.23,5.83 ± 0.42,3.90 ± 0.17,4.31 ± 0.41
IDV 13,5.35 ± 0.13,1.10 ± 0.29,2.25 ± 0.27,3.58 ± 0.18,2.06 ± 0.15,1.33 ± 0.24
IDV 14,5.10 ± 0.10,1.29 ± 0.14,0.88 ± 0.15,3.40 ± 0.19,3.04 ± 0.27,1.92 ± 0.31
IDV 16,6.62 ± 0.15,7.04 ± 0.65,7.21 ± 0.50,9.46 ± 0.24,8.10 ± 0.41,10.29 ± 0.78
IDV 17,6.88 ± 0.00,5.42 ± 0.42,3.25 ± 0.16,2.48 ± 0.17,4.50 ± 0.09,3.02 ± 0.37
IDV 18,6.88 ± 0.00,2.69 ± 0.35,2.56 ± 0.28,5.44 ± 0.21,1.58 ± 0.13,1.90 ± 0.34
IDV 19,3.08 ± 0.07,1.96 ± 0.41,1.73 ± 0.27,7.44 ± 0.35,1.87 ± 0.20,1.33 ± 0.31
IDV 20,5.00 ± 0.22,1.73 ± 0.30,1.08 ± 0.17,4.85 ± 0.17,1.90 ± 0.04,1.75 ± 0.17
IDV 21,7.50 ± 0.00,7.29 ± 0.50,4.73 ± 0.32,6.81 ± 0.25,2.21 ± 0.13,3.10 ± 0.36
