,PCA,OrthogonalAE,EfficientKAN,FastKAN,FourierKAN,WavKAN
IDV 3,4.38 ± 0.33,3.27 ± 0.51,4.46 ± 0.49,3.25 ± 0.59,2.27 ± 0.44,4.13 ± 0.63
IDV 9,7.75 ± 0.53,7.50 ± 0.83,5.56 ± 0.63,5.62 ± 0.71,3.58 ± 0.87,9.21 ± 1.21
IDV 15,4.96 ± 0.47,3.33 ± 0.54,3.71 ± 0.35,4.56 ± 0.63,0.71 ± 0.10,0.44 ± 0.12
IDV 4,4.75 ± 0.43,2.00 ± 0.32,3.06 ± 0.49,2.27 ± 0.32,3.19 ± 0.50,2.06 ± 0.24
IDV 5,4.75 ± 0.43,2.00 ± 0.32,3.06 ± 0.49,2.27 ± 0.32,3.19 ± 0.50,2.06 ± 0.24
IDV 7,3.88 ± 0.33,2.08 ± 0.39,2.44 ± 0.31,2.52 ± 0.34,2.83 ± 0.42,1.62 ± 0.31
IDV 1,5.90 ± 0.37,3.12 ± 0.61,3.19 ± 0.42,2.58 ± 0.68,1.48 ± 0.27,1.71 ± 0.28
IDV 2,4.73 ± 0.30,1.88 ± 0.29,2.60 ± 0.29,4.15 ± 0.53,3.46 ± 0.31,3.04 ± 0.37
IDV 6,5.58 ± 0.32,1.90 ± 0.44,2.56 ± 0.38,3.40 ± 0.55,2.25 ± 0.26,1.46 ± 0.23
IDV 8,3.83 ± 0.41,3.04 ± 0.55,2.96 ± 0.57,2.40 ± 0.38,0.85 ± 0.22,0.94 ± 0.27
IDV 10,6.08 ± 0.36,1.71 ± 0.47,1.00 ± 0.29,3.17 ± 0.55,2.02 ± 0.52,1.54 ± 0.37
IDV 11,4.71 ± 0.55,3.00 ± 0.44,2.19 ± 0.31,4.17 ± 0.37,0.98 ± 0.37,0.85 ± 0.29
IDV 12,3.88 ± 0.27,3.12 ± 0.48,3.98 ± 0.25,4.19 ± 0.58,3.06 ± 0.42,3.02 ± 0.48
IDV 13,4.73 ± 0.31,1.56 ± 0.41,1.83 ± 0.37,3.31 ± 0.58,1.17 ± 0.23,0.77 ± 0.19
IDV 14,4.69 ± 0.41,1.96 ± 0.48,1.08 ± 0.31,2.81 ± 0.22,1.29 ± 0.34,0.77 ± 0.35
IDV 16,6.65 ± 0.45,6.92 ± 0.78,8.46 ± 0.56,14.21 ± 1.25,8.77 ± 0.93,9.54 ± 0.86
IDV 17,6.23 ± 0.34,3.75 ± 0.73,3.62 ± 0.25,2.69 ± 0.48,3.10 ± 0.34,2.02 ± 0.38
IDV 18,6.67 ± 0.50,2.52 ± 0.46,2.12 ± 0.32,3.92 ± 0.56,1.10 ± 0.21,0.96 ± 0.23
IDV 19,2.94 ± 0.31,2.40 ± 0.62,1.96 ± 0.27,5.17 ± 0.81,0.77 ± 0.34,0.79 ± 0.29
IDV 20,4.69 ± 0.32,1.73 ± 0.49,0.79 ± 0.18,2.73 ± 0.50,1.44 ± 0.25,1.17 ± 0.22
IDV 21,6.96 ± 0.49,5.15 ± 0.65,4.87 ± 0.58,3.83 ± 0.60,1.65 ± 0.25,2.15 ± 0.45
