,PCA,OrthogonalAE,EfficientKAN,FastKAN,FourierKAN,WavKAN
IDV 3,4.20 ± 0.42,3.31 ± 0.49,4.38 ± 0.63,4.27 ± 0.49,2.56 ± 0.42,4.17 ± 0.68
IDV 9,7.55 ± 0.43,7.25 ± 0.91,6.02 ± 0.76,4.90 ± 0.62,3.85 ± 0.90,9.44 ± 1.20
IDV 15,5.02 ± 0.48,3.00 ± 0.56,3.69 ± 0.39,5.54 ± 0.47,0.83 ± 0.15,0.58 ± 0.17
IDV 4,4.10 ± 0.39,2.33 ± 0.36,3.35 ± 0.39,2.56 ± 0.31,3.62 ± 0.50,2.21 ± 0.30
IDV 5,4.10 ± 0.39,2.33 ± 0.36,3.35 ± 0.39,2.56 ± 0.31,3.62 ± 0.50,2.21 ± 0.30
IDV 7,4.38 ± 0.48,2.54 ± 0.43,2.67 ± 0.32,2.92 ± 0.33,3.42 ± 0.30,1.88 ± 0.29
IDV 1,6.28 ± 0.40,2.85 ± 0.49,3.25 ± 0.46,3.44 ± 0.57,1.73 ± 0.25,2.08 ± 0.34
IDV 2,5.02 ± 0.39,1.83 ± 0.30,3.13 ± 0.33,4.79 ± 0.34,3.73 ± 0.36,3.40 ± 0.37
IDV 6,5.62 ± 0.32,1.96 ± 0.41,3.38 ± 0.65,3.88 ± 0.48,2.52 ± 0.28,1.52 ± 0.20
IDV 8,3.98 ± 0.41,2.85 ± 0.47,2.88 ± 0.49,1.92 ± 0.45,0.90 ± 0.16,1.19 ± 0.28
IDV 10,6.62 ± 0.43,1.58 ± 0.35,1.15 ± 0.31,3.94 ± 0.37,2.31 ± 0.55,1.88 ± 0.34
IDV 11,4.52 ± 0.58,2.81 ± 0.49,2.54 ± 0.41,4.06 ± 0.25,1.13 ± 0.30,0.83 ± 0.30
IDV 12,3.62 ± 0.20,3.25 ± 0.42,3.90 ± 0.23,4.42 ± 0.43,3.15 ± 0.37,3.29 ± 0.49
IDV 13,5.03 ± 0.35,1.54 ± 0.36,1.88 ± 0.35,3.52 ± 0.35,1.31 ± 0.26,0.94 ± 0.21
IDV 14,5.10 ± 0.46,1.94 ± 0.35,1.17 ± 0.27,2.77 ± 0.21,1.40 ± 0.32,0.92 ± 0.31
IDV 16,6.95 ± 0.50,6.83 ± 0.90,7.85 ± 0.68,11.88 ± 0.82,8.15 ± 0.85,9.42 ± 0.91
IDV 17,6.25 ± 0.36,3.92 ± 0.57,3.77 ± 0.30,2.17 ± 0.44,3.48 ± 0.34,2.23 ± 0.40
IDV 18,7.15 ± 0.48,2.35 ± 0.55,2.48 ± 0.44,4.60 ± 0.49,1.06 ± 0.15,1.12 ± 0.31
IDV 19,2.80 ± 0.39,2.23 ± 0.48,2.12 ± 0.30,6.60 ± 0.79,1.08 ± 0.40,0.69 ± 0.30
IDV 20,5.03 ± 0.43,1.46 ± 0.32,0.98 ± 0.31,3.29 ± 0.45,1.73 ± 0.13,1.38 ± 0.23
IDV 21,7.25 ± 0.57,5.06 ± 0.68,5.25 ± 0.54,4.88 ± 0.50,1.81 ± 0.25,2.40 ± 0.37
