,PCA,OrthogonalAE,EfficientKAN,FastKAN,FourierKAN,WavKAN
IDV 3,3.75 ± 0.11,3.35 ± 0.47,6.08 ± 0.49,6.06 ± 0.28,4.63 ± 0.53,4.83 ± 0.38
IDV 9,8.04 ± 0.21,7.46 ± 0.65,3.50 ± 0.51,3.88 ± 0.31,4.50 ± 0.54,9.94 ± 0.97
IDV 15,5.25 ± 0.17,4.60 ± 0.46,3.54 ± 0.27,7.21 ± 0.29,0.73 ± 0.09,1.04 ± 0.26
IDV 4,4.21 ± 0.19,3.02 ± 0.36,3.54 ± 0.30,3.25 ± 0.25,4.83 ± 0.34,2.63 ± 0.28
IDV 5,4.21 ± 0.19,3.02 ± 0.36,3.54 ± 0.30,3.25 ± 0.25,4.83 ± 0.34,2.63 ± 0.28
IDV 7,4.40 ± 0.23,2.77 ± 0.34,3.85 ± 0.23,3.31 ± 0.28,3.96 ± 0.17,2.42 ± 0.36
IDV 1,7.13 ± 0.18,2.44 ± 0.32,4.54 ± 0.34,4.33 ± 0.24,2.54 ± 0.22,2.77 ± 0.48
IDV 2,5.23 ± 0.22,2.38 ± 0.38,3.94 ± 0.25,5.69 ± 0.25,4.27 ± 0.20,3.85 ± 0.31
IDV 6,5.25 ± 0.18,2.56 ± 0.45,3.62 ± 0.35,4.98 ± 0.44,3.15 ± 0.22,1.88 ± 0.28
IDV 8,3.85 ± 0.15,2.83 ± 0.38,3.98 ± 0.38,2.63 ± 0.28,1.73 ± 0.16,1.42 ± 0.36
IDV 10,7.54 ± 0.15,1.15 ± 0.30,1.33 ± 0.12,4.33 ± 0.24,4.44 ± 0.24,2.60 ± 0.40
IDV 11,5.21 ± 0.26,2.81 ± 0.38,3.79 ± 0.34,5.19 ± 0.31,2.15 ± 0.19,1.21 ± 0.28
IDV 12,3.29 ± 0.12,3.73 ± 0.50,4.52 ± 0.21,5.04 ± 0.45,4.48 ± 0.35,4.13 ± 0.34
IDV 13,5.21 ± 0.18,1.33 ± 0.27,1.94 ± 0.26,3.79 ± 0.24,1.79 ± 0.24,1.17 ± 0.19
IDV 14,5.23 ± 0.16,1.52 ± 0.33,1.21 ± 0.18,3.25 ± 0.21,2.56 ± 0.28,1.73 ± 0.36
IDV 16,6.98 ± 0.26,7.58 ± 0.59,7.42 ± 0.53,9.92 ± 0.28,7.60 ± 0.53,10.02 ± 0.90
IDV 17,6.60 ± 0.16,5.62 ± 0.53,3.27 ± 0.23,2.08 ± 0.15,4.21 ± 0.23,3.00 ± 0.36
IDV 18,7.08 ± 0.20,2.85 ± 0.33,2.96 ± 0.32,5.75 ± 0.19,1.35 ± 0.09,1.67 ± 0.26
IDV 19,2.94 ± 0.15,1.79 ± 0.24,1.73 ± 0.23,7.88 ± 0.34,1.83 ± 0.30,1.13 ± 0.28
IDV 20,4.77 ± 0.24,1.56 ± 0.29,0.98 ± 0.17,4.71 ± 0.17,1.88 ± 0.00,1.54 ± 0.17
IDV 21,7.67 ± 0.16,7.08 ± 0.48,4.87 ± 0.30,6.71 ± 0.27,2.17 ± 0.13,2.98 ± 0.37
