,PCA,OrthogonalAE,EfficientKAN,FastKAN,FourierKAN,WavKAN
IDV 3,4.12 ± 0.40,3.56 ± 0.64,4.33 ± 0.80,2.79 ± 1.00,2.40 ± 0.77,3.35 ± 0.98
IDV 9,7.81 ± 0.63,7.56 ± 1.02,6.00 ± 0.78,5.54 ± 1.22,4.40 ± 1.03,8.58 ± 1.53
IDV 15,4.58 ± 0.65,3.62 ± 0.64,3.44 ± 0.51,2.85 ± 0.62,0.81 ± 0.20,0.38 ± 0.19
IDV 4,5.35 ± 0.52,2.83 ± 0.42,2.71 ± 0.46,1.90 ± 0.39,2.65 ± 0.44,1.94 ± 0.31
IDV 5,5.35 ± 0.52,2.83 ± 0.42,2.71 ± 0.46,1.90 ± 0.39,2.65 ± 0.44,1.94 ± 0.31
IDV 7,3.81 ± 0.36,2.17 ± 0.44,2.54 ± 0.42,1.96 ± 0.58,1.98 ± 0.50,1.46 ± 0.43
IDV 1,5.65 ± 0.60,3.04 ± 0.45,3.02 ± 0.46,1.42 ± 0.61,1.44 ± 0.37,1.33 ± 0.35
IDV 2,4.42 ± 0.41,2.15 ± 0.45,2.44 ± 0.36,2.58 ± 0.58,2.94 ± 0.36,2.83 ± 0.51
IDV 6,4.96 ± 0.37,1.92 ± 0.37,2.81 ± 0.52,2.85 ± 0.62,1.87 ± 0.35,1.40 ± 0.24
IDV 8,4.29 ± 0.47,3.31 ± 0.47,2.90 ± 0.50,2.77 ± 0.54,0.85 ± 0.30,0.81 ± 0.28
IDV 10,5.19 ± 0.46,2.02 ± 0.46,1.17 ± 0.30,2.12 ± 0.38,1.56 ± 0.51,1.25 ± 0.40
IDV 11,4.04 ± 0.57,3.00 ± 0.44,1.94 ± 0.34,3.75 ± 0.67,1.04 ± 0.39,0.58 ± 0.32
IDV 12,3.92 ± 0.39,3.87 ± 0.68,3.54 ± 0.37,3.58 ± 0.90,3.19 ± 0.76,2.81 ± 0.75
IDV 13,4.96 ± 0.44,2.17 ± 0.49,1.88 ± 0.45,2.48 ± 0.72,0.96 ± 0.32,0.75 ± 0.22
IDV 14,4.04 ± 0.43,2.42 ± 0.42,0.98 ± 0.26,2.33 ± 0.47,0.92 ± 0.30,0.81 ± 0.44
IDV 16,6.77 ± 0.54,7.38 ± 0.85,8.65 ± 0.84,18.04 ± 1.57,10.15 ± 1.42,11.21 ± 1.36
IDV 17,6.48 ± 0.50,4.94 ± 0.75,3.67 ± 0.44,2.92 ± 0.66,2.58 ± 0.53,1.71 ± 0.47
IDV 18,6.69 ± 0.65,2.31 ± 0.58,2.35 ± 0.47,2.35 ± 0.57,0.96 ± 0.27,0.77 ± 0.32
IDV 19,2.85 ± 0.33,1.67 ± 0.44,2.25 ± 0.41,3.10 ± 0.46,0.71 ± 0.32,0.50 ± 0.27
IDV 20,4.31 ± 0.56,1.56 ± 0.38,0.77 ± 0.23,1.83 ± 0.62,1.19 ± 0.26,1.06 ± 0.29
IDV 21,7.08 ± 0.76,5.42 ± 0.89,5.02 ± 0.60,2.77 ± 0.64,2.06 ± 0.61,2.19 ± 0.58
