,PCA,OrthogonalAE,EfficientKAN,FastKAN,FourierKAN,WavKAN
IDV 3,3.73 ± 0.04,2.90 ± 0.32,6.23 ± 0.28,6.33 ± 0.27,5.56 ± 0.45,4.75 ± 0.43
IDV 9,8.23 ± 0.16,7.23 ± 0.49,3.06 ± 0.26,3.96 ± 0.27,4.88 ± 0.47,9.71 ± 0.98
IDV 15,5.25 ± 0.17,4.23 ± 0.33,3.31 ± 0.15,7.42 ± 0.29,0.71 ± 0.08,0.71 ± 0.21
IDV 4,4.40 ± 0.14,3.27 ± 0.30,3.46 ± 0.27,3.33 ± 0.15,4.58 ± 0.26,2.77 ± 0.29
IDV 5,4.40 ± 0.14,3.27 ± 0.30,3.46 ± 0.27,3.33 ± 0.15,4.58 ± 0.26,2.77 ± 0.29
IDV 7,4.52 ± 0.19,2.46 ± 0.32,3.96 ± 0.18,3.17 ± 0.24,4.17 ± 0.18,2.25 ± 0.30
IDV 1,7.23 ± 0.22,2.04 ± 0.30,4.92 ± 0.26,4.37 ± 0.25,2.42 ± 0.28,2.35 ± 0.36
IDV 2,5.23 ± 0.19,2.50 ± 0.40,3.85 ± 0.22,5.81 ± 0.28,4.21 ± 0.18,3.73 ± 0.28
IDV 6,5.23 ± 0.16,2.96 ± 0.38,4.21 ± 0.21,5.15 ± 0.36,3.60 ± 0.20,2.08 ± 0.31
IDV 8,3.62 ± 0.18,2.81 ± 0.34,3.65 ± 0.38,2.75 ± 0.23,1.67 ± 0.14,1.29 ± 0.25
IDV 10,7.54 ± 0.09,0.60 ± 0.24,1.48 ± 0.13,4.35 ± 0.17,4.65 ± 0.17,2.35 ± 0.36
IDV 11,5.17 ± 0.16,2.65 ± 0.31,3.96 ± 0.32,5.33 ± 0.33,2.02 ± 0.12,1.13 ± 0.26
IDV 12,3.23 ± 0.11,3.65 ± 0.41,4.62 ± 0.18,5.52 ± 0.42,4.00 ± 0.19,3.48 ± 0.37
IDV 13,5.17 ± 0.15,1.00 ± 0.22,2.19 ± 0.24,3.71 ± 0.24,1.92 ± 0.18,1.04 ± 0.19
IDV 14,5.12 ± 0.13,1.48 ± 0.34,1.15 ± 0.17,3.48 ± 0.19,3.19 ± 0.32,1.50 ± 0.33
IDV 16,6.94 ± 0.22,6.46 ± 0.45,6.96 ± 0.42,9.60 ± 0.25,8.27 ± 0.52,9.56 ± 0.66
IDV 17,6.79 ± 0.08,5.79 ± 0.56,3.29 ± 0.16,2.27 ± 0.23,4.52 ± 0.18,2.75 ± 0.37
IDV 18,7.00 ± 0.11,2.58 ± 0.29,2.50 ± 0.25,5.67 ± 0.20,1.54 ± 0.15,1.46 ± 0.22
IDV 19,2.96 ± 0.15,1.67 ± 0.34,1.71 ± 0.18,7.56 ± 0.27,1.69 ± 0.20,1.12 ± 0.30
IDV 20,4.83 ± 0.19,1.85 ± 0.32,1.08 ± 0.14,4.83 ± 0.15,1.88 ± 0.00,1.69 ± 0.14
IDV 21,7.40 ± 0.14,7.17 ± 0.47,4.60 ± 0.27,6.94 ± 0.23,2.13 ± 0.16,2.81 ± 0.33
