,PCA,OrthogonalAE,EfficientKAN,FastKAN,FourierKAN,WavKAN
IDV 3,3.98 ± 0.23,3.48 ± 0.60,4.92 ± 0.42,5.60 ± 0.39,3.27 ± 0.50,4.46 ± 0.55
IDV 9,8.21 ± 0.30,8.08 ± 0.69,4.31 ± 0.63,4.23 ± 0.51,4.38 ± 0.64,10.29 ± 1.18
IDV 15,5.12 ± 0.22,3.69 ± 0.49,3.77 ± 0.29,6.65 ± 0.46,0.75 ± 0.09,0.67 ± 0.17
IDV 4,4.08 ± 0.25,2.83 ± 0.50,3.17 ± 0.36,2.94 ± 0.25,4.31 ± 0.43,2.56 ± 0.33
IDV 5,4.08 ± 0.25,2.83 ± 0.50,3.17 ± 0.36,2.94 ± 0.25,4.31 ± 0.43,2.56 ± 0.33
IDV 7,4.54 ± 0.31,2.81 ± 0.52,3.00 ± 0.30,3.19 ± 0.27,3.71 ± 0.19,2.08 ± 0.33
IDV 1,6.83 ± 0.32,2.85 ± 0.40,3.83 ± 0.28,4.10 ± 0.25,2.02 ± 0.21,2.21 ± 0.31
IDV 2,5.50 ± 0.27,2.33 ± 0.38,3.48 ± 0.30,5.48 ± 0.28,3.94 ± 0.19,3.60 ± 0.35
IDV 6,5.25 ± 0.16,1.96 ± 0.34,3.25 ± 0.39,4.38 ± 0.38,2.92 ± 0.19,1.75 ± 0.25
IDV 8,4.06 ± 0.26,2.37 ± 0.42,2.67 ± 0.31,2.19 ± 0.27,1.27 ± 0.22,1.00 ± 0.20
IDV 10,7.44 ± 0.30,1.62 ± 0.39,1.15 ± 0.23,4.00 ± 0.23,3.75 ± 0.61,2.12 ± 0.42
IDV 11,5.04 ± 0.36,3.19 ± 0.50,3.02 ± 0.27,4.35 ± 0.26,1.98 ± 0.30,1.17 ± 0.27
IDV 12,3.50 ± 0.18,3.69 ± 0.46,3.98 ± 0.28,4.38 ± 0.31,3.79 ± 0.36,3.31 ± 0.47
IDV 13,5.04 ± 0.26,1.83 ± 0.38,2.00 ± 0.28,3.69 ± 0.32,1.54 ± 0.21,1.04 ± 0.21
IDV 14,5.33 ± 0.27,2.02 ± 0.37,1.04 ± 0.18,3.08 ± 0.17,1.83 ± 0.35,1.15 ± 0.42
IDV 16,6.98 ± 0.31,8.08 ± 0.67,7.75 ± 0.47,10.65 ± 0.33,7.65 ± 0.66,10.38 ± 0.71
IDV 17,6.52 ± 0.28,4.60 ± 0.52,3.65 ± 0.27,2.06 ± 0.33,3.98 ± 0.17,2.52 ± 0.38
IDV 18,7.23 ± 0.20,3.08 ± 0.48,2.27 ± 0.34,5.71 ± 0.27,1.27 ± 0.16,1.38 ± 0.30
IDV 19,3.04 ± 0.20,2.31 ± 0.42,2.04 ± 0.23,7.56 ± 0.40,1.71 ± 0.35,0.96 ± 0.35
IDV 20,4.81 ± 0.35,1.58 ± 0.32,0.77 ± 0.18,4.60 ± 0.26,1.83 ± 0.06,1.44 ± 0.17
IDV 21,7.42 ± 0.36,5.81 ± 0.53,4.85 ± 0.28,6.25 ± 0.38,1.94 ± 0.18,2.44 ± 0.40
