,PCA,OrthogonalAE,EfficientKAN,FastKAN,FourierKAN,WavKAN
IDV 3,3.88 ± 0.62,3.71 ± 1.02,3.65 ± 0.80,2.69 ± 1.13,2.58 ± 1.25,3.15 ± 1.19
IDV 9,7.44 ± 1.01,8.56 ± 1.32,6.35 ± 1.12,5.92 ± 1.28,5.00 ± 1.06,7.81 ± 1.68
IDV 15,4.52 ± 0.59,3.19 ± 0.68,2.94 ± 0.41,2.35 ± 0.58,0.69 ± 0.22,0.42 ± 0.21
IDV 4,4.88 ± 0.56,2.56 ± 0.54,2.35 ± 0.59,1.77 ± 0.38,2.44 ± 0.54,1.85 ± 0.39
IDV 5,4.88 ± 0.56,2.56 ± 0.54,2.35 ± 0.59,1.77 ± 0.38,2.44 ± 0.54,1.85 ± 0.39
IDV 7,3.92 ± 0.53,2.37 ± 0.56,2.38 ± 0.48,1.73 ± 0.66,1.48 ± 0.50,1.06 ± 0.32
IDV 1,5.12 ± 0.66,3.06 ± 0.58,2.44 ± 0.50,1.19 ± 0.55,1.15 ± 0.31,1.10 ± 0.34
IDV 2,4.17 ± 0.59,1.40 ± 0.44,1.96 ± 0.49,2.25 ± 0.55,2.48 ± 0.40,2.29 ± 0.48
IDV 6,4.33 ± 0.42,1.31 ± 0.31,2.42 ± 0.57,2.35 ± 0.75,1.56 ± 0.37,1.21 ± 0.24
IDV 8,4.15 ± 0.55,3.15 ± 0.60,2.77 ± 0.56,3.27 ± 0.62,1.04 ± 0.44,0.85 ± 0.38
IDV 10,4.44 ± 0.44,1.90 ± 0.51,0.92 ± 0.32,2.06 ± 0.40,1.19 ± 0.47,0.92 ± 0.39
IDV 11,4.17 ± 0.58,3.44 ± 0.52,2.04 ± 0.41,3.69 ± 0.76,0.81 ± 0.35,0.65 ± 0.28
IDV 12,3.60 ± 0.42,3.60 ± 0.65,3.40 ± 0.52,3.67 ± 1.04,3.06 ± 0.93,2.52 ± 0.91
IDV 13,4.25 ± 0.49,1.69 ± 0.35,1.33 ± 0.33,2.02 ± 0.72,0.67 ± 0.24,0.56 ± 0.20
IDV 14,3.48 ± 0.48,1.81 ± 0.42,0.96 ± 0.34,2.02 ± 0.57,0.75 ± 0.31,0.65 ± 0.30
IDV 16,6.10 ± 0.67,8.23 ± 1.03,7.65 ± 0.89,19.02 ± 1.92,11.48 ± 2.23,11.56 ± 2.03
IDV 17,6.06 ± 0.59,4.25 ± 0.83,3.48 ± 0.68,2.35 ± 0.70,2.19 ± 0.54,1.54 ± 0.46
IDV 18,5.77 ± 0.64,2.48 ± 0.57,2.06 ± 0.49,2.25 ± 0.55,0.71 ± 0.21,0.71 ± 0.25
IDV 19,2.90 ± 0.37,1.92 ± 0.44,1.85 ± 0.42,3.12 ± 0.61,0.79 ± 0.39,0.46 ± 0.27
IDV 20,3.83 ± 0.53,1.38 ± 0.48,0.77 ± 0.30,1.71 ± 0.58,1.00 ± 0.33,0.94 ± 0.33
IDV 21,7.10 ± 0.94,5.35 ± 1.20,5.17 ± 0.91,2.90 ± 0.82,2.12 ± 0.76,1.92 ± 0.71
